361977	73816	288161	214484	62184	59102	3082	11493
373351	123871	249480	189293	51877	47089	4788	8310
448382	211174	237208	184734	46249	41357	4892	6225
448738	254548	194190	152841	36938	33297	3641	4411
396495	253865	142630	111895	27736	24784	2952	2999
343777	234872	108905	84649	22210	20430	1780	2046
278923	200559	78364	60320	16687	14305	2382	1357
227225	169649	57576	44739	11949	9967	1982	888
206902	160164	46738	37339	8674	8027	647	725
189141	149450	39691	33072	6047	6108	-61	572
156720	122626	34094	28669	5109	4739	370	316
106151	77406	28745	24539	3949	3780	169	257
97124	62148	34976	30548	4118	4730	-612	310
847362	453995	393367	274953	111530	116696	-5166	6884
61992	27474	34518	24686	9351	8821	530	481
69455	37543	31912	22903	8516	8019	497	493
70116	38090	32026	22532	8673	10309	-1636	821
59178	12095	47083	32507	13600	19080	-5480	976
50627	9010	41617	28200	12433	17167	-4734	984
51841	16050	35791	24305	10769	11409	-640	717
67224	30434	36790	25379	10677	9246	1431	734
76281	43208	33073	23342	9160	8177	983	571
73317	46841	26476	18914	7257	7390	-133	305
61423	41286	20137	13735	6187	4954	1233	215
46735	32556	14179	9262	4715	3731	984	202
38242	28275	9967	6547	3281	2373	908	139
32319	25085	7234	4933	2210	1959	251	91
30395	24253	6142	4611	1468	1408	60	63
24766	19407	5359	4115	1240	1015	225	4
18228	13252	4976	4063	858	700	158	55
15223	9136	6087	4919	1135	938	197	33
1594700	872471	722229	539922	154025	169378	-15353	28282
124063	56029	68034	49966	15596	14289	1307	2472
128215	73727	54488	40351	12127	11635	492	2010
133887	74225	59662	43465	12677	12798	-121	3520
121294	24293	97001	70948	20678	22682	-2004	5375
111349	19040	92309	67075	20481	26336	-5855	4753
110489	35340	75149	54616	17363	19351	-1988	3170
131575	62743	68832	51420	15050	16116	-1066	2362
134449	81008	53441	40152	11628	12676	-1048	1661
122979	83025	39954	30379	8445	8902	-457	1130
102454	73647	28807	21732	6480	7685	-1205	595
77705	58358	19347	14825	4055	4597	-542	467
63882	50263	13619	10643	2665	3642	-977	311
59759	48841	10918	8739	2024	2931	-907	155
56441	46229	10212	8711	1412	1982	-570	89
48277	39034	9243	8077	1110	1430	-320	56
34372	25571	8801	7627	1117	1069	48	57
33510	21098	12412	11196	1117	1257	-140	99
1853720	692787	1160933	619598	466123	232189	233934	75212
150484	46919	103565	59635	38161	20183	17978	5769
139656	53199	86457	49775	31216	16312	14904	5466
123577	47550	76027	41268	26801	16237	10564	7958
129827	24104	105723	50441	41199	22859	18340	14083
146857	22135	124722	62673	51014	23844	27170	11035
158889	35705	123184	67154	47950	25191	22759	8080
169360	54692	114668	64016	44304	24324	19980	6348
159319	61600	97719	55480	37292	18867	18425	4947
141195	61526	79669	44913	31215	14490	16725	3541
127193	59063	68130	36299	29111	12576	16535	2720
103902	50953	52949	25860	25286	9690	15596	1803
84964	43123	41841	19641	20717	7948	12769	1483
70946	40690	30256	13625	15680	6801	8879	951
61612	37785	23827	11983	11318	4837	6481	526
44415	28831	15584	8140	7226	3474	3752	218
25085	15693	9392	4905	4316	2560	1756	171
16439	9219	7220	3790	3317	1996	1321	113
1160340	642397	517943	339085	162250	134347	27903	16608
88619	42861	45758	31149	13154	8593	4561	1455
93080	54724	38356	26440	10697	7402	3295	1219
85811	50466	35345	22199	11660	10547	1113	1486
68843	20412	48431	29079	17446	20596	-3150	1906
71460	13267	58193	36082	19320	17375	1945	2791
88252	28192	60060	37890	20039	13204	6835	2131
109895	51605	58290	38562	18065	12530	5535	1663
111965	66244	45721	31251	13181	10093	3088	1289
98802	65099	33703	23331	9532	7851	1681	840
85588	59753	25835	17932	7293	6792	501	610
63284	45158	18126	11642	6032	4744	1288	452
46702	33631	13071	8548	4243	3752	491	280
40986	30845	10141	6343	3584	3656	-72	214
